Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2021,7/29/2021, Drafted by the Atlanta Hawks in the 1st round (20th pick) of the 2021 NBA Draft.,Jalen Johnson,Drafted,tlanta Hawks in the 1st round ,tlanta Hawks in the 1st round 
2021,7/29/2021, Drafted by the Indiana Pacers in the 1st round (13th pick) of the 2021 NBA Draft.,Chris Duarte,Drafted,ndiana Pacers in the 1st round,ndiana Pacers in the 1st round
2021,7/29/2021, Drafted by the Memphis Grizzlies in the 2nd round (51st pick) of the 2021 NBA Draft.,Brandon Boston Jr.,Drafted,emphis Grizzlies in the 2nd ro,emphis Grizzlies in the 2nd ro
2021,7/29/2021, Drafted by the Brooklyn Nets in the 2nd round (44th pick) of the 2021 NBA Draft.,Kessler Edwards,Drafted,rooklyn Nets in the 2nd round ,rooklyn Nets in the 2nd round 
2021,7/29/2021, Drafted by the Charlotte Hornets in the 1st round (11th pick) of the 2021 NBA Draft.,James Bouknight,Drafted,harlotte Hornets in the 1st ro,harlotte Hornets in the 1st ro
2021,7/29/2021, Drafted by the Orlando Magic in the 1st round (8th pick) of the 2021 NBA Draft.,Franz Wagner,Drafted,rlando Magic in the 1st round ,rlando Magic in the 1st round 
2021,7/29/2021, Drafted by the New York Knicks in the 1st round (21st pick) of the 2021 NBA Draft.,Keon Johnson,Drafted,ew York Knicks in the 1st roun,ew York Knicks in the 1st roun
2021,7/29/2021, Drafted by the Golden State Warriors in the 1st round (14th pick) of the 2021 NBA Draft.,Moses Moody,Drafted,olden State Warriors in the 1s,olden State Warriors in the 1s
2021,7/29/2021, Drafted by the New York Knicks in the 2nd round (32nd pick) of the 2021 NBA Draft.,Jeremiah Robinson-Earl,Drafted,ew York Knicks in the 2nd roun,ew York Knicks in the 2nd roun
2021,7/29/2021, Drafted by the Golden State Warriors in the 1st round (7th pick) of the 2021 NBA Draft.,Jonathan Kuminga,Drafted,olden State Warriors in the 1s,olden State Warriors in the 1s
2021,7/29/2021, Drafted by the Los Angeles Lakers in the 1st round (22nd pick) of the 2021 NBA Draft.,Isaiah Jackson,Drafted,os Angeles Lakers in the 1st r,os Angeles Lakers in the 1st r
2021,7/29/2021, Drafted by the New Orleans Pelicans in the 2nd round (35th pick) of the 2021 NBA Draft.,Herbert Jones,Drafted,ew Orleans Pelicans in the 2nd,ew Orleans Pelicans in the 2nd
2021,7/29/2021, Drafted by the Houston Rockets in the 1st round (23rd pick) of the 2021 NBA Draft.,Usman Garuba,Drafted,ouston Rockets in the 1st roun,ouston Rockets in the 1st roun
2021,7/29/2021, Drafted by the Oklahoma City Thunder in the 1st round (18th pick) of the 2021 NBA Draft.,Tre Mann,Drafted,klahoma City Thunder in the 1s,klahoma City Thunder in the 1s
2021,7/29/2021, Drafted by the New York Knicks in the 1st round (19th pick) of the 2021 NBA Draft.,Kai Jones,Drafted,ew York Knicks in the 1st roun,ew York Knicks in the 1st roun
2021,7/29/2021, Drafted by the Oklahoma City Thunder in the 2nd round (55th pick) of the 2021 NBA Draft.,Aaron Wiggins,Drafted,klahoma City Thunder in the 2n,klahoma City Thunder in the 2n
2021,7/29/2021, Drafted by the Chicago Bulls in the 2nd round (38th pick) of the 2021 NBA Draft.,Ayo Dosunmu,Drafted,hicago Bulls in the 2nd round ,hicago Bulls in the 2nd round 
2021,7/29/2021, Drafted by the Charlotte Hornets in the 2nd round (56th pick) of the 2021 NBA Draft.,Scottie Lewis,Drafted,harlotte Hornets in the 2nd ro,harlotte Hornets in the 2nd ro
2021,7/29/2021, Drafted by the Toronto Raptors in the 2nd round (46th pick) of the 2021 NBA Draft.,Dalano Banton,Drafted,oronto Raptors in the 2nd roun,oronto Raptors in the 2nd roun
2021,7/29/2021, Drafted by the Toronto Raptors in the 1st round (4th pick) of the 2021 NBA Draft.,Scottie Barnes,Drafted,oronto Raptors in the 1st roun,oronto Raptors in the 1st roun
2021,7/29/2021, Drafted by the Washington Wizards in the 1st round (15th pick) of the 2021 NBA Draft.,Corey Kispert,Drafted,ashington Wizards in the 1st r,ashington Wizards in the 1st r
2021,7/29/2021, Drafted by the Philadelphia 76ers in the 2nd round (53rd pick) of the 2021 NBA Draft.,Charles Bassey,Drafted,hiladelphia 76ers in the 2nd r,hiladelphia 76ers in the 2nd r
2021,7/29/2021, Drafted by the Memphis Grizzlies in the 1st round (17th pick) of the 2021 NBA Draft.,Trey Murphy III,Drafted,emphis Grizzlies in the 1st ro,emphis Grizzlies in the 1st ro
2021,7/29/2021, Drafted by the Phoenix Suns in the 1st round (29th pick) of the 2021 NBA Draft.,Day'Ron Sharpe,Drafted,hoenix Suns in the 1st round (,hoenix Suns in the 1st round (
2021,7/29/2021, Drafted by the Houston Rockets in the 1st round (24th pick) of the 2021 NBA Draft.,Josh Christopher,Drafted,ouston Rockets in the 1st roun,ouston Rockets in the 1st roun
2021,7/29/2021, Drafted by the Milwaukee Bucks in the 2nd round (31st pick) of the 2021 NBA Draft.,Isaiah Todd,Drafted,ilwaukee Bucks in the 2nd roun,ilwaukee Bucks in the 2nd roun
2021,7/29/2021, Drafted by the Oklahoma City Thunder in the 1st round (16th pick) of the 2021 NBA Draft.,Alperen Şengün,Drafted,klahoma City Thunder in the 1s,klahoma City Thunder in the 1s
2021,7/29/2021, Drafted by the Denver Nuggets in the 1st round (26th pick) of the 2021 NBA Draft.,Bones Hyland,Drafted,enver Nuggets in the 1st round,enver Nuggets in the 1st round
2021,7/29/2021, Drafted by the Detroit Pistons in the 2nd round (42nd pick) of the 2021 NBA Draft.,Isaiah Livers,Drafted,etroit Pistons in the 2nd roun,etroit Pistons in the 2nd roun
2021,7/29/2021, Drafted by the Brooklyn Nets in the 1st round (27th pick) of the 2021 NBA Draft.,Cam Thomas,Drafted,rooklyn Nets in the 1st round ,rooklyn Nets in the 1st round 
2021,7/29/2021, Drafted by the Oklahoma City Thunder in the 1st round (6th pick) of the 2021 NBA Draft.,Josh Giddey,Drafted,klahoma City Thunder in the 1s,klahoma City Thunder in the 1s
2021,7/29/2021, Drafted by the Orlando Magic in the 1st round (5th pick) of the 2021 NBA Draft.,Jalen Suggs,Drafted,rlando Magic in the 1st round ,rlando Magic in the 1st round 
2021,7/29/2021, Drafted by the New Orleans Pelicans in the 2nd round (43rd pick) of the 2021 NBA Draft.,Greg Brown III,Drafted,ew Orleans Pelicans in the 2nd,ew Orleans Pelicans in the 2nd
2021,7/29/2021, Drafted by the Atlanta Hawks in the 2nd round (48th pick) of the 2021 NBA Draft.,Sharife Cooper,Drafted,tlanta Hawks in the 2nd round ,tlanta Hawks in the 2nd round 
2021,7/29/2021, Drafted by the Cleveland Cavaliers in the 1st round (3rd pick) of the 2021 NBA Draft.,Evan Mobley,Drafted,leveland Cavaliers in the 1st ,leveland Cavaliers in the 1st 
2021,7/29/2021, Drafted by the Detroit Pistons in the 2nd round (52nd pick) of the 2021 NBA Draft.,Luka Garza,Drafted,etroit Pistons in the 2nd roun,etroit Pistons in the 2nd roun
2021,7/29/2021, Drafted by the San Antonio Spurs in the 1st round (12th pick) of the 2021 NBA Draft.,Joshua Primo,Drafted,an Antonio Spurs in the 1st ro,an Antonio Spurs in the 1st ro
2021,7/29/2021, Drafted by the Toronto Raptors in the 2nd round (47th pick) of the 2021 NBA Draft.,David Johnson,Drafted,oronto Raptors in the 2nd roun,oronto Raptors in the 2nd roun
2021,7/29/2021, Drafted by the San Antonio Spurs in the 2nd round (41st pick) of the 2021 NBA Draft.,Joe Wieskamp,Drafted,an Antonio Spurs in the 2nd ro,an Antonio Spurs in the 2nd ro
2021,7/29/2021, Drafted by the Philadelphia 76ers in the 1st round (28th pick) of the 2021 NBA Draft.,Jaden Springer,Drafted,hiladelphia 76ers in the 1st r,hiladelphia 76ers in the 1st r
2021,7/29/2021, Drafted by the Utah Jazz in the 1st round (30th pick) of the 2021 NBA Draft.,Santi Aldama,Drafted,tah Jazz in the 1st round (30t,tah Jazz in the 1st round (30t
2021,7/29/2021, Drafted by the Detroit Pistons in the 1st round (1st pick) of the 2021 NBA Draft.,Cade Cunningham,Drafted,etroit Pistons in the 1st roun,etroit Pistons in the 1st roun
2021,7/29/2021, Drafted by the Sacramento Kings in the 2nd round (39th pick) of the 2021 NBA Draft.,Neemias Queta,Drafted,acramento Kings in the 2nd rou,acramento Kings in the 2nd rou
2021,7/29/2021, Drafted by the Sacramento Kings in the 1st round (9th pick) of the 2021 NBA Draft.,Davion Mitchell,Drafted,acramento Kings in the 1st rou,acramento Kings in the 1st rou
2021,7/29/2021, Drafted by the Indiana Pacers in the 2nd round (60th pick) of the 2021 NBA Draft.,Georgios Kalaitzakis,Drafted,ndiana Pacers in the 2nd round,ndiana Pacers in the 2nd round
2021,7/29/2021, Drafted by the Indiana Pacers in the 2nd round (54th pick) of the 2021 NBA Draft.,Sandro Mamukelashvili,Drafted,ndiana Pacers in the 2nd round,ndiana Pacers in the 2nd round
2008,7/3/2008, Signed as a free agent with the Dallas Mavericks.,Gerald Green,Signed,Dallas Mavericks.,Dallas Mavericks
2015,7/3/2015, Signed a multi-year contract with the Toronto Raptors,Delon Wright,Signed,Toronto Raptors,Toronto Raptors
2015,7/3/2015, Signed a multi-year contract with the Miami Heat,Justise Winslow,Signed,Miami Heat,Miami Heat
2017,7/3/2017, Signed a multi-year contract with the Indiana Pacers,T.J. Leaf,Signed,Indiana Pacers,Indiana Pacers
2017,7/3/2017, Signed a two-way contract with the New York Knicks,Luke Kornet,Signed,New York Knicks,New York Knicks
2017,7/3/2017, Signed a multi-year contract with the Los Angeles Lakers,Kyle Kuzma,Signed,Los Angeles Lakers,Los Angeles Lakers
2017,7/3/2017, Signed a multi-year contract with the Los Angeles Lakers,Josh Hart,Signed,Los Angeles Lakers,Los Angeles Lakers
2017,7/3/2017, Signed a multi-year contract with the Los Angeles Lakers,Lonzo Ball,Signed,Los Angeles Lakers,Los Angeles Lakers
2018,7/3/2018, Signed a multi-year contract with the Phoenix Suns,Deandre Ayton,Signed,Phoenix Suns,Phoenix Suns
2018,7/3/2018, Signed a multi-year contract with the Denver Nuggets,Michael Porter Jr.,Signed,Denver Nuggets,Denver Nuggets
2018,7/3/2018, Signed a multi-year contract with the Chicago Bulls,Chandler Hutchison,Signed,Chicago Bulls,Chicago Bulls
2018,7/3/2018, Signed a multi-year contract with the Chicago Bulls,Wendell Carter Jr.,Signed,Chicago Bulls,Chicago Bulls
2018,7/3/2018, Signed a two-way contract with the Phoenix Suns,George King,Signed,Phoenix Suns,Phoenix Suns
2018,7/3/2018, Signed a two-way contract with the New York Knicks,Isaiah Hicks,Signed,New York Knicks,New York Knicks
2018,7/3/2018, Signed a multi-year contract with the Orlando Magic,Mo Bamba,Signed,Orlando Magic,Orlando Magic
2018,7/3/2018, Signed a multi-year contract with the Phoenix Suns,Mikal Bridges,Signed,Phoenix Suns,Phoenix Suns
2018,7/3/2018, Signed a two-way contract with the New York Knicks,Allonzo Trier,Signed,New York Knicks,New York Knicks
2018,7/3/2018, Signed a contract with the Boston Celtics,Brad Wanamaker,Signed,Boston Celtics,Boston Celtics
2019,7/3/2019, Signed a multi-year contract with the Cleveland Cavaliers,Kevin Porter Jr.,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2019,7/3/2019, Signed an Exhibit 10 contract with the Houston Rockets.,Chris Clemons,Signed,Houston Rockets.,Houston Rockets
2019,7/3/2019, Signed an Exhibit 10 contract with the Houston Rockets.,Shamorie Ponds,Signed,Houston Rockets.,Houston Rockets
2019,7/3/2019, Signed a multi-year contract with the Charlotte Hornets,P.J. Washington,Signed,Charlotte Hornets,Charlotte Hornets
2019,7/3/2019, Signed as a free agent with the Portland Trail Blazers.,Anthony Tolliver,Signed,Portland Trail Blazers.,Portland Trail Blazers
2019,7/3/2019, Signed a multi-year contract with the Philadelphia 76ers,Matisse Thybulle,Signed,Philadelphia 76ers,Philadelphia 76ers
2019,7/3/2019, Signed as a free agent with the Portland Trail Blazers.,Mario Hezonja,Signed,Portland Trail Blazers.,Portland Trail Blazers
2021,7/3/2021, Suspended by the league. (1-game suspension),Patrick Beverley,Suspended,no,no
2007,7/30/2007, Signed a multi-year contract with the Memphis Grizzlies,Mike Conley,Signed,Memphis Grizzlies,Memphis Grizzlies
2013,7/30/2013, Signed a multi-year contract with the Milwaukee Bucks,Giannis Antetokounmpo,Signed,Milwaukee Bucks,Milwaukee Bucks
2014,7/30/2014, Signed a multi-year contract with the Milwaukee Bucks,Johnny O'Bryant,Signed,Milwaukee Bucks,Milwaukee Bucks
2014,7/30/2014, Signed a contract with the Sacramento Kings,Eric Moreland,Signed,Sacramento Kings,Sacramento Kings
2015,7/30/2015, Signed a multi-year contract with the Dallas Mavericks,Salah Mejri,Signed,Dallas Mavericks,Dallas Mavericks
2015,7/30/2015, Signed a multi-year contract with the Oklahoma City Thunder,Josh Huestis,Signed,Oklahoma City Thunder,Oklahoma City Thunder
2016,7/30/2016, Signed a multi-year contract with the Milwaukee Bucks,Thon Maker,Signed,Milwaukee Bucks,Milwaukee Bucks
2017,7/30/2017, Signed a multi-year contract with the Los Angeles Lakers,Thomas Bryant,Signed,Los Angeles Lakers,Los Angeles Lakers
2017,7/30/2017, Waived by the Houston Rockets.,Jarrod Uthoff,Waived,no,no
2018,7/30/2018, Waived by the Atlanta Hawks.,Carmelo Anthony,Waived,no,no
2018,7/30/2018, Signed a two-way contract with the Dallas Mavericks,Daryl Macon,Signed,Dallas Mavericks,Dallas Mavericks
2018,7/30/2018, Waived by the Boston Celtics.,Rodney Purvis,Waived,no,no
2018,7/30/2018, Signed as a free agent with the Brooklyn Nets.,Treveon Graham,Signed,Brooklyn Nets.,Brooklyn Nets
2019,7/30/2019, Signed a multi-year contract with the Portland Trail Blazers (Signing is extension on deal signed in 2013 and extended in 2016.),CJ McCollum,Signed,Portland Trail Blazers (Signin,Portland Trail Blazers (Signin
2019,7/30/2019, Signed a two-way contract with the Golden State Warriors,Damion Lee,Signed,Golden State Warriors,Golden State Warriors
2019,7/30/2019, Signed a two-way contract with the Dallas Mavericks,Josh Reaves,Signed,Dallas Mavericks,Dallas Mavericks
2019,7/30/2019, Signed as a free agent with the Philadelphia 76ers.,Trey Burke,Signed,Philadelphia 76ers.,Philadelphia 76ers
2019,7/30/2019, Signed a two-way contract with the Orlando Magic,Amile Jefferson,Signed,Orlando Magic,Orlando Magic
2019,7/30/2019, Signed an Exhibit 10 contract with the Brooklyn Nets.,Deng Adel,Signed,Brooklyn Nets.,Brooklyn Nets
2021,7/30/2021, Traded by the New Orleans Pelicans to the Portland Trail Blazers for cash and a 2026 2nd round draft pick. 2026 2nd-rd pick is POR own,Greg Brown III,Traded,no,no
2021,7/30/2021," Traded by the Milwaukee Bucks to the Indiana Pacers for Georgios Kalaitzakis, Sandro Mamukelashvili, a 2024 2nd round draft pick and a 2026 2nd round draft pick. 2024 2nd-rd pick is more favorable 2026 2nd-rd pick is more favorable",Isaiah Todd,Traded,no,no
2021,7/30/2021, Traded by the Oklahoma City Thunder to the Houston Rockets for a 2022 1st round draft pick and a 2023 1st round draft pick. 2022 conditional 1st-rd pick is DET own 2023 conditional 1st-rd pick is WAS own,Alperen Şengün,Traded,no,no
2021,7/30/2021," Traded by the Indiana Pacers with Sandro Mamukelashvili, a 2024 2nd round draft pick and a 2026 2nd round draft pick to the Milwaukee Bucks for Isaiah Todd. 2024 2nd-rd pick is more favorable 2026 2nd-rd pick is more favorable",Georgios Kalaitzakis,Traded,no,no
2021,7/30/2021, Traded by the Oklahoma City Thunder with Rokas Jokubaitis to the New York Knicks for Jeremiah Robinson-Earl.,Miles McBride,Traded,no,no
2021,7/30/2021, Traded by the New York Knicks to the Oklahoma City Thunder for Rokas Jokubaitis and Miles McBride.,Jeremiah Robinson-Earl,Traded,no,no
2021,7/30/2021, Traded by the Los Angeles Clippers with a 2024 2nd round draft pick to the New York Knicks for Keon Johnson. 2024 2nd-rd pick is DET own,Quentin Grimes,Traded,no,no
2021,7/30/2021," Traded by the Indiana Pacers with Georgios Kalaitzakis, a 2024 2nd round draft pick and a 2026 2nd round draft pick to the Milwaukee Bucks for Isaiah Todd. 2024 2nd-rd pick is more favorable 2026 2nd-rd pick is more favorable",Sandro Mamukelashvili,Traded,no,no
2021,7/30/2021, Traded by the New York Knicks to the Los Angeles Clippers for Quentin Grimes and a 2024 2nd round draft pick. 2024 2nd-rd pick is DET own,Keon Johnson,Traded,no,no
2021,7/30/2021, Traded by the Utah Jazz with a 2024 1st round draft pick to the Oklahoma City Thunder for cash and a 2027 2nd round draft pick. Utah received a trade exception conditional 2024 1st-rd pick is UTA own 2027 2nd-rd pick is least favorable,Derrick Favors,Traded,no,no
2021,7/30/2021, Traded by the New York Knicks to the Charlotte Hornets for a 2022 1st round draft pick. 2022 conditional 1st-rd pick is CHO own,Kai Jones,Traded,no,no
2021,7/30/2021, Waived by the Memphis Grizzlies.,Jontay Porter,Waived,no,no
2007,7/31/2007," Traded by the Boston Celtics with Ryan Gomes, Al Jefferson, Theo Ratliff, Sebastian Telfair, a 2009 1st round draft pick (Wayne Ellington was later selected) and a 2009 1st round draft pick (Jonny Flynn was later selected) to the Minnesota Timberwolves for Kevin Garnett.",Gerald Green,,no,no
2007,7/31/2007," Traded by the Boston Celtics (as a future 2009 1st round draft pick) with Ryan Gomes, Gerald Green, Al Jefferson, Theo Ratliff, Sebastian Telfair and a 2009 1st round draft pick (Jonny Flynn was later selected) to the Minnesota Timberwolves for Kevin Garnett.",Wayne Ellington,,no,no
2007,7/31/2007," Traded by the Boston Celtics with Ryan Gomes, Gerald Green, Theo Ratliff, Sebastian Telfair, a 2009 1st round draft pick (Wayne Ellington was later selected) and a 2009 1st round draft pick (Jonny Flynn was later selected) to the Minnesota Timberwolves for Kevin Garnett.",Al Jefferson,,no,no
2013,7/31/2013, Traded by the Detroit Pistons with Brandon Knight and Viacheslav Kravtsov to the Milwaukee Bucks for Brandon Jennings.,Khris Middleton,Traded,no,no
2013,7/31/2013, Signed as a free agent with the Dallas Mavericks.,Devin Harris,Signed,Dallas Mavericks.,Dallas Mavericks
2013,7/31/2013," Traded by the Milwaukee Bucks to the Detroit Pistons for Brandon Knight, Viacheslav Kravtsov and Khris Middleton.",Brandon Jennings,Traded,no,no
2013,7/31/2013, Signed a contract with the Milwaukee Bucks,Nate Wolters,Signed,Milwaukee Bucks,Milwaukee Bucks
2013,7/31/2013, Signed a multi-year contract with the Washington Wizards,John Wall,Signed,Washington Wizards,Washington Wizards
2013,7/31/2013, Traded by the Detroit Pistons with Viacheslav Kravtsov and Khris Middleton to the Milwaukee Bucks for Brandon Jennings.,Brandon Knight,Traded,no,no
2014,7/31/2014, Signed a contract with the Milwaukee Bucks,Jerryd Bayless,Signed,Milwaukee Bucks,Milwaukee Bucks
2014,7/31/2014, Signed a multi-year contract with the Denver Nuggets,Jusuf Nurkić,Signed,Denver Nuggets,Denver Nuggets
2015,7/31/2015, Signed a multi-year contract with the Dallas Mavericks,Jeremy Evans,Signed,Dallas Mavericks,Dallas Mavericks
2015,7/31/2015, Signed a multi-year contract with the Philadelphia 76ers,Richaun Holmes,Signed,Philadelphia 76ers,Philadelphia 76ers
2015,7/31/2015, Signed a multi-year contract with the Denver Nuggets,Emmanuel Mudiay,Signed,Denver Nuggets,Denver Nuggets
2017,7/31/2017, Waived by the Orlando Magic.,Marcus Georges-Hunt,Waived,no,no
2017,7/31/2017, Signed a contract with the Boston Celtics,Shane Larkin,Signed,Boston Celtics,Boston Celtics
2017,7/31/2017, Signed a multi-year contract with the Milwaukee Bucks,Tony Snell,Signed,Milwaukee Bucks,Milwaukee Bucks
2018,7/31/2018, Signed a contract with the Chicago Bulls,Ryan Arcidiacono,Signed,Chicago Bulls,Chicago Bulls
2018,7/31/2018, Signed a two-way contract with the Minnesota Timberwolves,C.J. Williams,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2018,7/31/2018, Waived by the San Antonio Spurs.,Brandon Paul,Waived,no,no
2018,7/31/2018, Signed a two-way contract with the Sacramento Kings,Wenyen Gabriel,Signed,Sacramento Kings,Sacramento Kings
2019,7/31/2019, Signed a multi-year contract with the Charlotte Hornets,Cody Martin,Signed,Charlotte Hornets,Charlotte Hornets
2019,7/31/2019, Signed an Exhibit 10 contract with the Charlotte Hornets.,Caleb Martin,Signed,Charlotte Hornets.,Charlotte Hornets
2019,7/31/2019, Signed as a free agent with the Indiana Pacers.,Justin Holiday,Signed,Indiana Pacers.,Indiana Pacers
2019,7/31/2019, Waived by the Houston Rockets.,Deyonta Davis,Waived,no,no
2019,7/31/2019, Signed a multi-year contract with the Memphis Grizzlies,Marko Guduric,Signed,Memphis Grizzlies,Memphis Grizzlies
2019,7/31/2019, Signed a two-way contract with the Indiana Pacers,Naz Mitrou-Long,Signed,Indiana Pacers,Indiana Pacers
2019,7/31/2019, Signed an Exhibit 10 contract with the Atlanta Hawks.,Ray Spalding,Signed,Atlanta Hawks.,Atlanta Hawks
2019,7/31/2019, Waived by the Denver Nuggets.,Thomas Welsh,Waived,no,no
2019,7/31/2019, Waived by the Houston Rockets.,Chris Chiozza,Waived,no,no
2021,7/31/2021, Waived by the Detroit Pistons.,Deividas Sirvydis,Waived,no,no
2021,7/31/2021, Traded by the Boston Celtics to the Dallas Mavericks for Josh Richardson. Boston received a trade exception Dallas received a trade exception,Moses Brown,Traded,no,no
2021,7/31/2021, Waived by the New York Knicks.,Norvel Pelle,Waived,no,no
2021,7/31/2021, Waived by the Detroit Pistons.,Tyler Cook,Waived,no,no
2021,7/31/2021, Traded by the Dallas Mavericks to the Boston Celtics for Moses Brown. Boston received a trade exception Dallas received a trade exception,Josh Richardson,Traded,no,no
2021,7/31/2021, Waived by the Detroit Pistons.,Cory Joseph,Waived,no,no
2017,7/4/2017, Signed a multi-year contract with the Portland Trail Blazers,Zach Collins,Signed,Portland Trail Blazers,Portland Trail Blazers
2017,7/4/2017, Signed a multi-year contract with the Phoenix Suns,Josh Jackson,Signed,Phoenix Suns,Phoenix Suns
2017,7/4/2017, Signed a two-way contract with the Dallas Mavericks,Johnathan Motley,Signed,Dallas Mavericks,Dallas Mavericks
2017,7/4/2017, Signed a multi-year contract with the Philadelphia 76ers,Furkan Korkmaz,Signed,Philadelphia 76ers,Philadelphia 76ers
2017,7/4/2017, Signed a multi-year contract with the Portland Trail Blazers,Caleb Swanigan,Signed,Portland Trail Blazers,Portland Trail Blazers
2017,7/4/2017, Signed a two-way contract with the Phoenix Suns,Mike James,Signed,Phoenix Suns,Phoenix Suns
2018,7/4/2018, Signed a multi-year contract with the Philadelphia 76ers,Landry Shamet,Signed,Philadelphia 76ers,Philadelphia 76ers
2018,7/4/2018, Signed a multi-year contract with the Cleveland Cavaliers,Collin Sexton,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2018,7/4/2018, Signed a multi-year contract with the Los Angeles Clippers,Shai Gilgeous-Alexander,Signed,Los Angeles Clippers,Los Angeles Clippers
2018,7/4/2018, Signed as a free agent with the Minnesota Timberwolves.,Derrick Rose,Signed,Minnesota Timberwolves.,Minnesota Timberwolves
2019,7/4/2019, Signed a two-way contract with the Washington Wizards,Garrison Mathews,Signed,Washington Wizards,Washington Wizards
2019,7/4/2019, Waived by the Sacramento Kings.,Frank Mason III,Waived,no,no
2019,7/4/2019, Signed a multi-year contract with the Detroit Pistons,Sekou Doumbouya,Signed,Detroit Pistons,Detroit Pistons
2019,7/4/2019, Signed a two-way contract with the Detroit Pistons,Louis King,Signed,Detroit Pistons,Detroit Pistons
2014,7/5/2014, Signed a multi-year contract with the Boston Celtics,Marcus Smart,Signed,Boston Celtics,Boston Celtics
2017,7/5/2017, Signed a two-way contract with the Indiana Pacers,Edmond Sumner,Signed,Indiana Pacers,Indiana Pacers
2017,7/5/2017, Signed a multi-year contract with the New York Knicks,Frank Ntilikina,Signed,New York Knicks,New York Knicks
2017,7/5/2017, Signed a multi-year contract with the Chicago Bulls,Lauri Markkanen,Signed,Chicago Bulls,Chicago Bulls
2017,7/5/2017, Signed a multi-year contract with the Utah Jazz,Donovan Mitchell,Signed,Utah Jazz,Utah Jazz
2017,7/5/2017, Signed a multi-year contract with the Utah Jazz,Tony Bradley,Signed,Utah Jazz,Utah Jazz
2017,7/5/2017, Signed a multi-year contract with the Dallas Mavericks,Dennis Smith Jr.,Signed,Dallas Mavericks,Dallas Mavericks
2018,7/5/2018, Signed a two-way contract with the Minnesota Timberwolves,Jared Terrell,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2018,7/5/2018, Signed a multi-year contract with the Washington Wizards,Troy Brown Jr.,Signed,Washington Wizards,Washington Wizards
2018,7/5/2018, Signed a multi-year contract with the Los Angeles Clippers,Jerome Robinson,Signed,Los Angeles Clippers,Los Angeles Clippers
2018,7/5/2018, Waived by the Houston Rockets.,Aaron Jackson,Waived,no,no
2018,7/5/2018, Signed a multi-year contract with the Boston Celtics,Robert Williams,Signed,Boston Celtics,Boston Celtics
2018,7/5/2018, Signed as a free agent with the Portland Trail Blazers.,Nik Stauskas,Signed,Portland Trail Blazers.,Portland Trail Blazers
2018,7/5/2018, Signed a two-way contract with the Los Angeles Clippers,Ángel Delgado,Signed,Los Angeles Clippers,Los Angeles Clippers
2018,7/5/2018, Signed a multi-year contract with the New York Knicks,Kevin Knox,Signed,New York Knicks,New York Knicks
2019,7/5/2019, Signed a two-way contract with the Minnesota Timberwolves,Naz Reid,Signed,Minnesota Timberwolves,Minnesota Timberwolves
2013,7/6/2013, Signed a contract with the Utah Jazz,Rudy Gobert,Signed,Utah Jazz,Utah Jazz
2013,7/6/2013, Signed a contract with the Utah Jazz,Trey Burke,Signed,Utah Jazz,Utah Jazz
2015,7/6/2015, Signed a multi-year contract with the Brooklyn Nets,Rondae Hollis-Jefferson,Signed,Brooklyn Nets,Brooklyn Nets
2015,7/6/2015, Signed a multi-year contract with the Philadelphia 76ers,Jahlil Okafor,Signed,Philadelphia 76ers,Philadelphia 76ers
2017,7/6/2017, Signed a multi-year contract with the Denver Nuggets,Danilo Gallinari,Signed,Denver Nuggets,Denver Nuggets
2017,7/6/2017," As part of a 3-team trade, traded by the Los Angeles Clippers (as a future 2018 1st round draft pick) with Jamal Crawford, Diamond Stone and $1.3M to the Atlanta Hawks",Omari Spellman,As,no,no
2017,7/6/2017, Signed a multi-year contract with the Chicago Bulls,Cristiano Felício,Signed,Chicago Bulls,Chicago Bulls
2017,7/6/2017, Signed a multi-year contract with the San Antonio Spurs,Derrick White,Signed,San Antonio Spurs,San Antonio Spurs
2017,7/6/2017, Signed a multi-year contract with the Memphis Grizzlies,Ben McLemore,Signed,Memphis Grizzlies,Memphis Grizzlies
2017,7/6/2017," As part of a 3-team trade, traded by the Atlanta Hawks (as a future 2019 2nd round draft pick) to the Denver Nuggets",Cody Martin,As,no,no
2017,7/6/2017, Signed a multi-year contract with the Detroit Pistons,Langston Galloway,Signed,Detroit Pistons,Detroit Pistons
2017,7/6/2017, Signed a multi-year contract with the Houston Rockets,Zhou Qi,Signed,Houston Rockets,Houston Rockets
2017,7/6/2017, Signed a multi-year contract with the New Orleans Pelicans,Jrue Holiday,Signed,New Orleans Pelicans,New Orleans Pelicans
2017,7/6/2017, Traded by the Philadelphia 76ers to the Milwaukee Bucks for $1.9M cash.,Sterling Brown,Traded,no,no
2017,7/6/2017, Traded by the Oklahoma City Thunder with Domantas Sabonis to the Indiana Pacers for Paul George.,Victor Oladipo,Traded,no,no
2017,7/6/2017, Signed a multi-year contract with the Sacramento Kings,Harry Giles,Signed,Sacramento Kings,Sacramento Kings
2017,7/6/2017, Signed a multi-year contract with the Minnesota Timberwolves,Justin Patton,Signed,Minnesota Timberwolves,Minnesota Timberwolves
