Year,Date,Transaction,Player,Type,New Team,NewTeamWFormat
2021,4/19/2021, Signed a 10-day contract with the Los Angeles Clippers.,Yogi Ferrell,Signed,Los Angeles Clippers.,Los Angeles Clippers
2011,4/2/2011, Assigned to the Austin Spurs of the G-League.,Danny Green,Assigned,no,no
2017,4/2/2017, Signed a multi-year contract with the Milwaukee Bucks,Gary Payton II,Signed,Milwaukee Bucks,Milwaukee Bucks
2018,4/2/2018, Assigned to the South Bay Lakers of the G-League.,Travis Wear,Assigned,no,no
2018,4/2/2018, Signed a contract for the rest of the season with the Atlanta Hawks,Damion Lee,Signed,Atlanta Hawks,Atlanta Hawks
2019,4/2/2019, Assigned to the of the G-League.,B.J. Johnson,Assigned,no,no
2019,4/2/2019, Signed a contract for the rest of the season with the New York Knicks,Billy Garrett,Signed,New York Knicks,New York Knicks
2021,4/2/2021, Signed a 10-day contract with the New York Knicks.,Norvel Pelle,Signed,New York Knicks.,New York Knicks
2022,4/2/2022, Recalled from the Cleveland Charge of the G-League.,RJ Nembhard Jr.,Recalled,no,no
2021,4/20/2021, Signed a 10-day contract with the Denver Nuggets.,Austin Rivers,Signed,Denver Nuggets.,Denver Nuggets
2021,4/21/2021, Suspended by the league. (1-game suspension),JaKarr Sampson,Suspended,no,no
2021,4/21/2021, Signed a two-way contract with the Milwaukee Bucks,Justin Jackson,Signed,Milwaukee Bucks,Milwaukee Bucks
2021,4/21/2021, Signed a contract with the Indiana Pacers,Oshae Brissett,Signed,Indiana Pacers,Indiana Pacers
2021,4/21/2021, Signed a 2nd 10-day contract with the Cleveland Cavaliers.,Mfiondu Kabengele,Signed,Cleveland Cavaliers.,Cleveland Cavaliers
2021,4/21/2021, Converted from a two-way contract to a regular contract by the Milwaukee Bucks.,Mamadi Diakite,Converted,no,no
2021,4/22/2021, Signed a contract with the New York Knicks,Norvel Pelle,Signed,New York Knicks,New York Knicks
2021,4/22/2021, Signed a 2nd 10-day contract with the Orlando Magic.,Robert Franks,Signed,Orlando Magic.,Orlando Magic
2021,4/22/2021, Signed a 2nd 10-day contract with the Philadelphia 76ers.,Anthony Tolliver,Signed,Philadelphia 76ers.,Philadelphia 76ers
2021,4/23/2021, Signed a two-way contract with the New York Knicks,Myles Powell,Signed,New York Knicks,New York Knicks
2021,4/23/2021, Signed a 10-day contract with the Brooklyn Nets.,Mike James,Signed,Brooklyn Nets.,Brooklyn Nets
2021,4/23/2021, Signed a 10-day contract with the New York Knicks.,Jared Harper,Signed,New York Knicks.,New York Knicks
2021,4/23/2021, Signed a two-way contract with the Indiana Pacers,Amida Brimah,Signed,Indiana Pacers,Indiana Pacers
2021,4/23/2021, Waived by the Brooklyn Nets.,LaMarcus Aldridge,Waived,no,no
2021,4/23/2021, Waived by the Indiana Pacers.,Brian Bowen,Waived,no,no
2021,4/23/2021, Waived by the New York Knicks.,Jared Harper,Waived,no,no
2021,4/23/2021, Signed a 2nd 10-day contract with the Orlando Magic.,Donta Hall,Signed,Orlando Magic.,Orlando Magic
2012,4/24/2012, Signed as a free agent with the Philadelphia 76ers.,Xavier Silas,Signed,Philadelphia 76ers.,Philadelphia 76ers
2021,4/24/2021, Waived by the New York Knicks.,Myles Powell,Waived,no,no
2021,4/24/2021, Signed a contract with the Memphis Grizzlies,Tim Frazier,Signed,Memphis Grizzlies,Memphis Grizzlies
2021,4/25/2021, Signed a 10-day contract with the Oklahoma City Thunder.,Charlie Brown Jr.,Signed,Oklahoma City Thunder.,Oklahoma City Thunder
2014,4/26/2014, Suspended by the league. (1-game suspension),Nenê,Suspended,no,no
2021,4/26/2021, Signed a contract for the rest of the season with the Los Angeles Clippers,DeMarcus Cousins,Signed,Los Angeles Clippers,Los Angeles Clippers
2021,4/27/2021, Converted from a two-way contract to a regular contract by the Sacramento Kings.,Chimezie Metu,Converted,no,no
2021,4/27/2021, Signed a contract with the Sacramento Kings,Damian Jones,Signed,Sacramento Kings,Sacramento Kings
2021,4/27/2021, Signed a contract for the rest of the season with the Orlando Magic,Moritz Wagner,Signed,Orlando Magic,Orlando Magic
2021,4/27/2021, Signed a contract with the New Orleans Pelicans,Didi Louzada,Signed,New Orleans Pelicans,New Orleans Pelicans
2021,4/27/2021, Waived by the Sacramento Kings.,Chris Silva,Waived,no,no
2013,4/28/2013, Recalled from the of the G-League.,Scott Machado,Recalled,no,no
2021,4/28/2021, Signed a contract with the Toronto Raptors,Freddie Gillespie,Signed,Toronto Raptors,Toronto Raptors
2021,4/28/2021, Signed a two-way contract with the Cleveland Cavaliers,Jeremiah Martin,Signed,Cleveland Cavaliers,Cleveland Cavaliers
2021,4/28/2021, Signed a contract for the rest of the season with the Portland Trail Blazers,Rondae Hollis-Jefferson,Signed,Portland Trail Blazers,Portland Trail Blazers
2021,4/28/2021, Suspended by the league. (1-game suspension),Marcus Smart,Suspended,no,no
2021,4/29/2021, Signed a contract with the Los Angeles Clippers,Yogi Ferrell,Signed,Los Angeles Clippers,Los Angeles Clippers
2011,4/3/2011, Recalled from the Austin Spurs of the G-League.,Danny Green,Recalled,no,no
