GameId,Season,Date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,Home_team,Away_team,hm_date_id
22100036,2021-22 Regular Season,10/24/2021,Mo Bamba,Wendell Carter Jr.,Jalen Suggs,Cole Anthony,Franz Wagner,Mitchell Robinson,Evan Fournier,RJ Barrett,Kemba Walker,Julius Randle,NYK,ORL,NYK-10-24-2021
22100037,2021-22 Regular Season,10/24/2021,Robert Williams III,Jayson Tatum,Marcus Smart,Al Horford,Dennis Schroder,Christian Wood,Daniel Theis,Kevin Porter Jr.,Jalen Green,Jae'Sean Tate,HOU,BOS,HOU-10-24-2021
22100038,2021-22 Regular Season,10/24/2021,Joel Embiid,Tyrese Maxey,Seth Curry,Tobias Harris,Danny Green,Derrick Favors,Josh Giddey,Luguentz Dort,Shai Gilgeous-Alexander,Darius Bazley,OKC,PHI,OKC-10-24-2021
22100039,2021-22 Regular Season,10/24/2021,Kevon Looney,Draymond Green,Andrew Wiggins,Stephen Curry,Jordan Poole,Richaun Holmes,Maurice Harkless,Tyrese Haliburton,Harrison Barnes,De'Aaron Fox,SAC,GSW,SAC-10-24-2021
22100040,2021-22 Regular Season,10/24/2021,Steven Adams,Jaren Jackson Jr.,Desmond Bane,De'Anthony Melton,Ja Morant,DeAndre Jordan,LeBron James,Russell Westbrook,Anthony Davis,Kent Bazemore,LAL,MEM,LAL-10-24-2021
22100041,2021-22 Regular Season,10/25/2021,Robert Williams III,Marcus Smart,Dennis Schroder,Jayson Tatum,Jaylen Brown,Mason Plumlee,Kelly Oubre Jr.,LaMelo Ball,Miles Bridges,Gordon Hayward,CHA,BOS,CHA-10-25-2021
22100042,2021-22 Regular Season,10/25/2021,Thanasis Antetokounmpo,Giannis Antetokounmpo,Khris Middleton,George Hill,Grayson Allen,Myles Turner,Malcolm Brogdon,Domantas Sabonis,Justin Holiday,Chris Duarte,IND,MIL,IND-10-25-2021
22100043,2021-22 Regular Season,10/25/2021,Isaiah Stewart,Saddiq Bey,Kelly Olynyk,Killian Hayes,Josh Jackson,Clint Capela,Trae Young,John Collins,Bogdan Bogdanovic,Kevin Huerter,ATL,DET,ATL-10-25-2021
22100044,2021-22 Regular Season,10/25/2021,Daniel Gafford,Kentavious Caldwell-Pope,Bradley Beal,Spencer Dinwiddie,Kyle Kuzma,Blake Griffin,Joe Harris,Bruce Brown,James Harden,Kevin Durant,BKN,WAS,BKN-10-25-2021
22100045,2021-22 Regular Season,10/25/2021,Mo Bamba,Jalen Suggs,Wendell Carter Jr.,Cole Anthony,Franz Wagner,Bam Adebayo,Kyle Lowry,Duncan Robinson,P.J. Tucker,Jimmy Butler,MIA,ORL,MIA-10-25-2021
22100046,2021-22 Regular Season,10/25/2021,Nikola Vucevic,Zach LaVine,Patrick Williams,DeMar DeRozan,Lonzo Ball,Precious Achiuwa,Scottie Barnes,OG Anunoby,Gary Trent Jr.,Fred VanVleet,TOR,CHI,TOR-10-25-2021
22100047,2021-22 Regular Season,10/25/2021,Jonas Valanciunas,Herbert Jones,Brandon Ingram,Devonte' Graham,Nickeil Alexander-Walker,Karl-Anthony Towns,D'Angelo Russell,Anthony Edwards,Jaden McDaniels,Josh Okogie,MIN,NOP,MIN-10-25-2021
